Date,Gasoline Prices
15-12-94,1.091
15-01-95,1.082
15-02-95,1.073
15-03-95,1.072
15-04-95,1.111
15-05-95,1.178
15-06-95,1.192
15-07-95,1.154
15-08-95,1.123
15-09-95,1.111
15-10-95,1.087
15-11-95,1.062
15-12-95,1.071
15-01-96,1.09
15-02-96,1.089
15-03-96,1.137
15-04-96,1.231
15-05-96,1.279
15-06-96,1.256
15-07-96,1.227
15-08-96,1.207
15-09-96,1.202
15-10-96,1.204
15-11-96,1.232
15-12-96,1.235
15-01-97,1.236
15-02-97,1.23
15-03-97,1.205
15-04-97,1.199
15-05-97,1.2
15-06-97,1.198
15-07-97,1.174
15-08-97,1.224
15-09-97,1.231
15-10-97,1.197
15-11-97,1.171
15-12-97,1.131
15-01-98,1.086
15-02-98,1.049
15-03-98,1.017
15-04-98,1.03
15-05-98,1.064
15-06-98,1.064
15-07-98,1.055
15-08-98,1.026
15-09-98,1.009
15-10-98,1.019
15-11-98,0.995
15-12-98,0.945
15-01-99,0.939
15-02-99,0.921
15-03-99,0.982
15-04-99,1.131
15-05-99,1.131
15-06-99,1.114
15-07-99,1.158
15-08-99,1.221
15-09-99,1.256
15-10-99,1.244
15-11-99,1.251
15-12-99,1.273
15-01-00,1.289
15-02-00,1.377
15-03-00,1.516
15-04-00,1.465
15-05-00,1.487
15-06-00,1.633
15-07-00,1.551
15-08-00,1.465
15-09-00,1.55
15-10-00,1.532
15-11-00,1.517
15-12-00,1.443
15-01-01,1.447
15-02-01,1.45
15-03-01,1.409
15-04-01,1.552
15-05-01,1.702
15-06-01,1.616
15-07-01,1.421
15-08-01,1.421
15-09-01,1.522
15-10-01,1.315
15-11-01,1.171
15-12-01,1.086
15-01-02,1.107
15-02-02,1.114
15-03-02,1.249
15-04-02,1.397
15-05-02,1.392
15-06-02,1.382
15-07-02,1.397
15-08-02,1.396
15-09-02,1.4
15-10-02,1.445
15-11-02,1.419
15-12-02,1.386
15-01-03,1.458
15-02-03,1.613
15-03-03,1.693
15-04-03,1.589
15-05-03,1.497
15-06-03,1.493
15-07-03,1.513
15-08-03,1.62
15-09-03,1.679
15-10-03,1.564
15-11-03,1.512
15-12-03,1.479
15-01-04,1.572
15-02-04,1.648
15-03-04,1.736
15-04-04,1.798
15-05-04,1.983
15-06-04,1.969
15-07-04,1.911
15-08-04,1.878
15-09-04,1.87
15-10-04,2
15-11-04,1.979
15-12-04,1.841
15-01-05,1.831
15-02-05,1.91
15-03-05,2.079
15-04-05,2.243
15-05-05,2.161
15-06-05,2.156
15-07-05,2.29
15-08-05,2.486
15-09-05,2.903
15-10-05,2.717
15-11-05,2.257
15-12-05,2.185
15-01-06,2.316
15-02-06,2.28
15-03-06,2.425
15-04-06,2.742
15-05-06,2.907
15-06-06,2.885
15-07-06,2.981
15-08-06,2.952
15-09-06,2.555
15-10-06,2.245
15-11-06,2.229
15-12-06,2.313
15-01-07,2.24
15-02-07,2.278
15-03-07,2.563
15-04-07,2.845
15-05-07,3.146
15-06-07,3.056
15-07-07,2.965
15-08-07,2.786
15-09-07,2.803
15-10-07,2.803
15-11-07,3.08
15-12-07,3.018
15-01-08,3.043
15-02-08,3.028
15-03-08,3.244
15-04-08,3.458
15-05-08,3.766
15-06-08,4.054
15-07-08,4.062
15-08-08,3.779
15-09-08,3.703
15-10-08,3.051
15-11-08,2.147
15-12-08,1.687
15-01-09,1.788
15-02-09,1.923
15-03-09,1.959
15-04-09,2.049
15-05-09,2.266
15-06-09,2.631
15-07-09,2.527
